 train         node      observed        predicted
     y           33    3.850000E+05     3.990938E+05
     y           33    4.000000E+05     3.990938E+05
     y           19    3.600000E+05     7.060558E+05
     y           17    4.800000E+05     3.708738E+05
     y           53    1.275000E+06     1.152055E+06
     y           17    3.800000E+05     3.708738E+05
     y           53    1.275000E+06     1.152055E+06
     y           17    4.060000E+05     3.708738E+05
     y           33    4.400000E+05     3.990938E+05
     y           53    1.275000E+06     1.152055E+06
     y           32    4.820000E+05     5.728587E+05
     y           32    5.220000E+05     5.728587E+05
     y           32    4.990000E+05     5.728587E+05
     y           48    4.190000E+05     7.757435E+05
     y           19    7.200000E+05     7.060558E+05
     y           32    6.750000E+05     5.728587E+05
     y           25    7.370000E+05     6.117883E+05
     y           37    4.500000E+05     4.740929E+05
     y           19    5.650000E+05     7.060558E+05
     y           17    4.500000E+05     3.708738E+05
     y           33    4.000000E+05     3.990938E+05
     y           32    6.610000E+05     5.728587E+05
     y           25    7.990000E+05     6.117883E+05
     y           48    5.850000E+05     7.757435E+05
     y            7    7.900000E+05     9.370035E+05
     y           32    5.860000E+05     5.728587E+05
     y           17    2.700000E+05     3.708738E+05
     y           17    4.950000E+05     3.708738E+05
     y           17    3.000000E+05     3.708738E+05
     y           17    2.790000E+05     3.708738E+05
     y           33    4.000000E+05     3.990938E+05
     y           19    4.050000E+05     7.060558E+05
     y           17    4.450000E+05     3.708738E+05
     y           19    6.590000E+05     7.060558E+05
     y           19    4.500000E+05     7.060558E+05
     y           48    6.600000E+05     7.757435E+05
     y           33    3.910000E+05     3.990938E+05
     y           32    5.580000E+05     5.728587E+05
     y           37    8.750000E+05     4.740929E+05
     y            7    7.500000E+05     9.370035E+05
     y            7    7.250000E+05     9.370035E+05
     y           19    7.520000E+05     7.060558E+05
     y           33    3.520000E+05     3.990938E+05
     y           32    4.820000E+05     5.728587E+05
     y           37    4.500000E+05     4.740929E+05
     y            7    1.175000E+06     9.370035E+05
     y           48    5.500000E+05     7.757435E+05
     y           33    3.500000E+05     3.990938E+05
     y           48    6.940000E+05     7.757435E+05
     y           19    8.350000E+05     7.060558E+05
     y           17    4.290000E+05     3.708738E+05
     y           33    4.180000E+05     3.990938E+05
     y           48    4.500000E+05     7.757435E+05
     y            7    1.004000E+06     9.370035E+05
     y           17    4.590000E+05     3.708738E+05
     y           19    9.700000E+05     7.060558E+05
     y           17    2.490000E+05     3.708738E+05
     y            7    6.820000E+05     9.370035E+05
     y           19    4.700000E+05     7.060558E+05
     y           17    2.750000E+05     3.708738E+05
     y           19    4.300000E+05     7.060558E+05
     y           33    3.200000E+05     3.990938E+05
     y           73    5.750000E+05     5.120566E+05
     y           19    5.490000E+05     7.060558E+05
     y           17    4.800000E+05     3.708738E+05
     y           33    5.290000E+05     3.990938E+05
     y            7    9.020000E+05     9.370035E+05
     y           33    5.030000E+05     3.990938E+05
     y           32    3.400000E+05     5.728587E+05
     y           33    5.500000E+05     3.990938E+05
     y           32    3.600000E+05     5.728587E+05
     y           32    6.600000E+05     5.728587E+05
     y           19    6.750000E+05     7.060558E+05
     y            7    9.200000E+05     9.370035E+05
     y           19    6.790000E+05     7.060558E+05
     y           17    5.600000E+05     3.708738E+05
     y           17    3.150000E+05     3.708738E+05
     y           19    4.950000E+05     7.060558E+05
     y           32    2.890000E+05     5.728587E+05
     y           17    3.900000E+05     3.708738E+05
     y           19    5.990000E+05     7.060558E+05
     y           33    4.990000E+05     3.990938E+05
     y           19    3.850000E+05     7.060558E+05
     y           19    1.094900E+06     7.060558E+05
     y           17    4.250000E+05     3.708738E+05
     y           19    6.800000E+05     7.060558E+05
     y           17    3.950000E+05     3.708738E+05
     y           33    5.250000E+05     3.990938E+05
     y           48    6.230000E+05     7.757435E+05
     y           17    2.650000E+05     3.708738E+05
     y           19    6.960000E+05     7.060558E+05
     y           17    4.300000E+05     3.708738E+05
     y            7    1.199000E+06     9.370035E+05
     y           33    3.150000E+05     3.990938E+05
     y           17    4.100000E+05     3.708738E+05
     y           32    3.400000E+05     5.728587E+05
     y           33    3.900000E+05     3.990938E+05
     y           17    4.250000E+05     3.708738E+05
     y           19    8.600000E+05     7.060558E+05
     y           17    2.710000E+05     3.708738E+05
