 train       observed       predicted
 y     7.370000E+05     6.730773E+05
 y     4.500000E+05     5.493824E+05
 y     5.650000E+05     5.230449E+05
 y     4.500000E+05     4.233604E+05
 y     4.000000E+05     4.713451E+05
 y     6.610000E+05     4.940029E+05
 y     7.990000E+05     8.269284E+05
 y     5.850000E+05     6.749092E+05
 y     7.900000E+05     8.356178E+05
 y     5.860000E+05     5.351900E+05
 y     2.700000E+05     2.924964E+05
 y     4.950000E+05     5.273240E+05
 y     3.000000E+05     3.866593E+05
 y     2.790000E+05     3.362083E+05
 y     4.000000E+05     4.492450E+05
 y     4.050000E+05     5.254375E+05
 y     4.450000E+05     4.563028E+05
 y     6.590000E+05     5.478553E+05
 y     4.500000E+05     5.058331E+05
 y     6.600000E+05     6.590757E+05
 y     3.910000E+05     4.693906E+05
 y     5.580000E+05     5.078450E+05
 y     8.750000E+05     7.941891E+05
 y     7.500000E+05     7.803776E+05
 y     7.250000E+05     7.453299E+05
 y     7.520000E+05     5.875809E+05
 y     3.520000E+05     4.072679E+05
 y     4.820000E+05     4.906830E+05
 y     4.500000E+05     6.343952E+05
 y     1.175000E+06     1.066753E+06
 y     5.500000E+05     6.903407E+05
 y     3.500000E+05     4.481478E+05
 y     6.940000E+05     6.976648E+05
 y     8.350000E+05     6.357003E+05
 y     4.290000E+05     4.501026E+05
 y     4.180000E+05     4.213841E+05
 y     4.500000E+05     5.983940E+05
 y     1.004000E+06     9.153073E+05
 y     4.590000E+05     4.233604E+05
 y     9.700000E+05     8.413253E+05
 y     2.490000E+05     2.913719E+05
 y     6.820000E+05     8.023819E+05
 y     4.700000E+05     4.644792E+05
 y     2.750000E+05     3.636009E+05
 y     4.300000E+05     5.911640E+05
 y     3.200000E+05     4.457626E+05
 y     5.750000E+05     6.012762E+05
 y     5.490000E+05     6.240764E+05
 y     4.800000E+05     5.029849E+05
 y     5.290000E+05     4.911100E+05
 y     9.020000E+05     9.171593E+05
 y     5.030000E+05     4.713885E+05
 y     3.400000E+05     4.648833E+05
 y     5.500000E+05     4.466348E+05
 y     3.600000E+05     4.679692E+05
 y     6.600000E+05     5.126702E+05
 y     6.750000E+05     7.074368E+05
 y     9.200000E+05     1.054213E+06
 y     6.790000E+05     7.655854E+05
 y     5.600000E+05     4.225908E+05
 y     3.150000E+05     3.567826E+05
 y     4.950000E+05     5.461149E+05
 y     2.890000E+05     4.856042E+05
 y     3.900000E+05     4.209123E+05
 y     5.990000E+05     6.121954E+05
 y     4.990000E+05     4.560380E+05
 y     3.850000E+05     5.257536E+05
 y     1.094900E+06     7.986773E+05
 y     4.250000E+05     4.162948E+05
 y     6.800000E+05     7.715243E+05
 y     3.950000E+05     4.516235E+05
 y     5.250000E+05     4.641194E+05
 y     6.230000E+05     7.340152E+05
 y     2.650000E+05     3.488739E+05
 y     6.960000E+05     5.445458E+05
 y     4.300000E+05     4.653888E+05
